Codigo_Litigio,Item_Fatura,Status,Empresa,Centro,Grupo_Compradores,Data_Criacao,Fornecedor,Nome_Fornecedor,Documento_Compras,Item,Material,Descricao_Material,Referencia,Quantidade,Preco_Contrato,Preco_Fatura,Valor_Diferenca,Montante,Item_Contrato,
2789611,2,NFL,483,FAS,SCO,2/4/2025,110781,FORNECEDOR,4508605395,20,738214780R,PEÇA,000129153-1,96,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 18.062,40",710695,20
2789611,3,NFL,483,FAS,SCO,2/4/2025,110781,FORNECEDOR,4508605395,30,738216242R,PEÇA,000129153-1,96,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 18.062,40",710695,30
2789611,4,NFL,483,FAS,SCO,2/4/2025,110781,FORNECEDOR,4508605395,40,738217174R,PEÇA,000129153-1,48,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 10.593,12",710695,40
2789721,1,NFL,483,FAS,SCO,2/4/2025,110781,FORNECEDOR,4508605931,10,738206375R,PEÇA,000129190-1,72,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 15.889,68",710695,10
2789721,2,NFL,483,FAS,SCO,2/4/2025,110781,FORNECEDOR,4508605931,20,738214780R,PEÇA,000129190-1,264,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 49.671,60",710695,20
2789721,3,NFL,483,FAS,SCO,2/4/2025,110781,FORNECEDOR,4508605931,30,738217174R,PEÇA,000129190-1,144,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 31.779,36",710695,40
2790336,1,NFL,483,CRAG,SCO,4/4/2025,101912,FORNECEDOR,4508612496,10,231000711R,PEÇA,000153516-7,80,"R$ 214,50","R$ 218,83","R$ 4,33","R$ 346,40",749618,20
2790463,2,NFL,483,FAS,SCO,2/4/2025,102294,FORNECEDOR,4508608182,20,679002227R,PEÇA,000207080-1,50,"R$ 64,25","R$ 66,83","R$ 2,58","R$ 129,00",4600016932,1330
2790694,3,NFL,483,FVU,SCO,2/4/2025,102294,FORNECEDOR,4508608879,30,749028808R,PEÇA,000207091-1,16,"R$ 349,06","R$ 396,65","R$ 47,59","R$ 761,44",4600016937,200
2790707,1,NFL,483,FAS,SCO,3/4/2025,102294,FORNECEDOR,4508609807,10,679002227R,PEÇA,000207121-1,75,"R$ 64,25","R$ 66,83","R$ 2,58","R$ 193,50",4600016932,1330
2790826,1,NFL,483,FAS,SCO,3/4/2025,101517,FORNECEDOR,4508604211,10,484005466R,PEÇA,000834492-1,320,"R$ 297,57","R$ 327,90","R$ 30,33","R$ 9.705,60",586909,90
2791070,1,NFL,483,FAS,SCO,3/4/2025,101384,FORNECEDOR,4508607517,10,739102859R,PEÇA,000398031-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,750
2791071,1,NFL,483,FAS,SCO,3/4/2025,101384,FORNECEDOR,4508607518,10,739105089R,PEÇA,000398032-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2791111,1,NFL,483,SJP,SCO,3/4/2025,101384,FORNECEDOR,4508607476,10,739102859R,PEÇA,000398074-1,75,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 379,50",526162,340
2791112,1,NFL,483,SJP,SCO,3/4/2025,101384,FORNECEDOR,4508607477,10,739105089R,PEÇA,000398075-1,90,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 455,40",526162,350
2791164,1,NFL,483,FAS,SCO,3/4/2025,110781,FORNECEDOR,4508608752,10,738206375R,PEÇA,000129207-1,72,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 15.889,68",710695,10
2791164,2,NFL,483,FAS,SCO,3/4/2025,110781,FORNECEDOR,4508608752,20,738216242R,PEÇA,000129207-1,240,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 45.156,00",710695,30
2791212,4,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508604769,70,620223601R,PEÇA,000047015-3,6,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 18,24",662313,2000
2791212,7,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508604769,80,620224709R,PEÇA,000047015-3,1,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 3,07",662313,2020
2791212,8,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508604769,90,620225005R,PEÇA,000047015-3,1,"R$ 200,11","R$ 203,17","R$ 3,06","R$ 3,06",662313,2030
2791212,5,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508604769,100,620226216R,PEÇA,000047015-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2791214,4,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508604231,90,620223601R,PEÇA,000047021-3,8,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 24,32",662313,2000
2791214,5,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508604231,100,620226216R,PEÇA,000047021-3,4,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 12,28",662313,2110
2791216,4,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508607776,70,620223601R,PEÇA,000047037-3,5,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 15,20",662313,2000
2791216,5,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508607776,80,620226216R,PEÇA,000047037-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2791217,4,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508606087,60,620223601R,PEÇA,000047022-3,1,"R$ 199,51","R$ 202,56","R$ 3,05","R$ 3,05",662313,2000
2791217,5,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508606087,70,620226216R,PEÇA,000047022-3,3,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 9,21",662313,2110
2791219,3,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508605928,70,620223601R,PEÇA,000047026-3,2,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 6,08",662313,2000
2791219,4,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508605928,80,620224709R,PEÇA,000047026-3,2,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 6,14",662313,2020
2791219,8,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508605928,90,620225005R,PEÇA,000047026-3,2,"R$ 200,11","R$ 203,16","R$ 3,05","R$ 6,10",662313,2030
2791219,5,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508605928,100,620226216R,PEÇA,000047026-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2791222,4,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508608222,90,620223601R,PEÇA,000047033-3,4,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 12,16",662313,2000
2791222,9,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508608222,100,620224709R,PEÇA,000047033-3,2,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 6,14",662313,2020
2791222,10,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508608222,110,620225005R,PEÇA,000047033-3,1,"R$ 200,11","R$ 203,17","R$ 3,06","R$ 3,06",662313,2030
2791222,5,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508608222,120,620226216R,PEÇA,000047033-3,1,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 3,07",662313,2110
2791225,4,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508607532,80,620223601R,PEÇA,000047039-3,3,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 9,12",662313,2000
2791225,8,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508607532,90,620224709R,PEÇA,000047039-3,2,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 6,14",662313,2020
2791225,9,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508607532,100,620225005R,PEÇA,000047039-3,3,"R$ 200,11","R$ 203,16","R$ 3,05","R$ 9,15",662313,2030
2791225,5,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508607532,110,620226216R,PEÇA,000047039-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2791268,5,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508609109,70,620223601R,PEÇA,000047044-3,1,"R$ 199,51","R$ 202,56","R$ 3,05","R$ 3,05",662313,2000
2791268,7,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508609109,80,620224709R,PEÇA,000047044-3,1,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 3,07",662313,2020
2791268,8,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508609109,90,620225005R,PEÇA,000047044-3,1,"R$ 200,11","R$ 203,17","R$ 3,06","R$ 3,06",662313,2030
2791269,4,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508608751,70,620223601R,PEÇA,000047048-3,5,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 15,20",662313,2000
2791269,5,NFL,483,FAS,SCO,3/4/2025,108060,FORNECEDOR,4508608751,80,620226216R,PEÇA,000047048-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2791315,1,NFL,483,FAS,SCO,3/4/2025,102294,FORNECEDOR,4508609382,10,679002227R,PEÇA,000207107-1,25,"R$ 64,25","R$ 66,83","R$ 2,58","R$ 64,50",4600016932,1330
2791419,1,NFL,483,CRAG,SCO,4/4/2025,101912,FORNECEDOR,4508612495,10,231000711R,PEÇA,000153498-7,80,"R$ 214,50","R$ 218,83","R$ 4,33","R$ 346,40",749618,20
2791771,1,NFL,483,SJP,SCO,3/4/2025,102318,FORNECEDOR,4508610810,10,620224263R,PEÇA,000240868-3,50,"R$ 159,80","R$ 168,34","R$ 8,54","R$ 427,00",662290,10
2792141,1,NFL,483,FAS,SCO,4/4/2025,101384,FORNECEDOR,4508609366,10,739102859R,PEÇA,000398154-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,750
2792142,1,NFL,483,FAS,SCO,4/4/2025,101384,FORNECEDOR,4508609368,10,739105089R,PEÇA,000398155-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2792195,1,NFL,483,FVU,SCO,4/4/2025,102294,FORNECEDOR,4508608880,10,540345079R,PEÇA,000207093-1,280,"R$ 0,62","R$ 0,70","R$ 0,08","R$ 22,40",4600016937,100
2792195,2,NFL,483,FVU,SCO,4/4/2025,102294,FORNECEDOR,4508608880,20,543219608R,PEÇA,000207093-1,280,"R$ 0,62","R$ 0,70","R$ 0,08","R$ 22,40",4600016937,110
2792257,1,NFL,483,FAS,SCO,4/4/2025,110781,FORNECEDOR,4508610068,10,738206375R,PEÇA,000129223-1,72,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 15.889,68",710695,10
2792257,2,NFL,483,FAS,SCO,4/4/2025,110781,FORNECEDOR,4508610068,20,738214780R,PEÇA,000129223-1,72,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 13.546,80",710695,20
2792257,3,NFL,483,FAS,SCO,4/4/2025,110781,FORNECEDOR,4508610068,30,738216242R,PEÇA,000129223-1,72,"R$ 21,23","R$ 209,38","R$ 188,15","R$ 13.546,80",710695,30
2792257,4,NFL,483,FAS,SCO,4/4/2025,110781,FORNECEDOR,4508610068,40,738217174R,PEÇA,000129223-1,48,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 10.593,12",710695,40
2792400,1,NFL,483,FAS,SCO,4/4/2025,102294,FORNECEDOR,4508611928,10,224766016R,PEÇA,000207159-1,810,"R$ 5,27","R$ 5,99","R$ 0,72","R$ 583,20",703344,10
2792565,3,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508608910,60,620223601R,PEÇA,000047047-3,5,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 15,20",662313,2000
2792565,4,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508608910,70,620224709R,PEÇA,000047047-3,1,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 3,07",662313,2020
2792565,5,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508608910,80,620226216R,PEÇA,000047047-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2792566,5,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609027,100,620223601R,PEÇA,000047046-3,5,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 15,20",662313,2000
2792566,8,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609027,110,620224709R,PEÇA,000047046-3,1,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 3,07",662313,2020
2792566,9,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609027,120,620226216R,PEÇA,000047046-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2792568,5,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609396,100,620223601R,PEÇA,000047053-3,6,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 18,24",662313,2000
2792568,8,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609396,110,620224709R,PEÇA,000047053-3,2,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 6,14",662313,2020
2792568,9,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609396,120,620226216R,PEÇA,000047053-3,3,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 9,21",662313,2110
2792569,4,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609577,70,620223601R,PEÇA,000047055-3,4,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 12,16",662313,2000
2792569,5,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609577,80,620224709R,PEÇA,000047055-3,3,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 9,21",662313,2020
2792569,8,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609577,90,620225005R,PEÇA,000047055-3,1,"R$ 200,11","R$ 203,17","R$ 3,06","R$ 3,06",662313,2030
2792570,3,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609819,70,620223601R,PEÇA,000047057-3,3,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 9,12",662313,2000
2792570,4,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609819,80,620224709R,PEÇA,000047057-3,1,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 3,07",662313,2020
2792570,8,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609819,90,620225005R,PEÇA,000047057-3,1,"R$ 200,11","R$ 203,17","R$ 3,06","R$ 3,06",662313,2030
2792570,5,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508609819,100,620226216R,PEÇA,000047057-3,1,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 3,07",662313,2110
2792572,5,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508611056,90,620223601R,PEÇA,000047070-3,2,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 6,08",662313,2000
2792572,7,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508611056,100,620224709R,PEÇA,000047070-3,1,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 3,07",662313,2020
2792572,8,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508611056,110,620225005R,PEÇA,000047070-3,2,"R$ 200,11","R$ 203,16","R$ 3,05","R$ 6,10",662313,2030
2792572,9,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508611056,120,620226216R,PEÇA,000047070-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2792574,3,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508611849,40,620223601R,PEÇA,000047061-3,1,"R$ 199,51","R$ 202,56","R$ 3,05","R$ 3,05",662313,2000
2792574,4,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508611849,50,620224709R,PEÇA,000047061-3,1,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 3,07",662313,2020
2792575,5,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508610403,90,620223601R,PEÇA,000047064-3,7,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 21,28",662313,2000
2792575,9,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508610403,100,620224709R,PEÇA,000047064-3,2,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 6,14",662313,2020
2792576,5,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508610066,90,620223601R,PEÇA,000047062-3,7,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 21,28",662313,2000
2792576,8,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508610066,100,620224709R,PEÇA,000047062-3,1,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 3,07",662313,2020
2792576,9,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508610066,110,620225005R,PEÇA,000047062-3,1,"R$ 200,11","R$ 203,17","R$ 3,06","R$ 3,06",662313,2030
2792577,4,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508610741,70,620223601R,PEÇA,000047066-3,4,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 12,16",662313,2000
2792577,8,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508610741,80,620224709R,PEÇA,000047066-3,2,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 6,14",662313,2020
2792577,5,NFL,483,FAS,SCO,4/4/2025,108060,FORNECEDOR,4508610741,90,620226216R,PEÇA,000047066-3,4,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 12,28",662313,2110
2792742,1,NFL,483,FAS,SCO,4/4/2025,101384,FORNECEDOR,4508611924,10,739105089R,PEÇA,000398289-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2792746,1,NFL,483,FAS,SCO,4/4/2025,101384,FORNECEDOR,4508611920,10,739102859R,PEÇA,000398285-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,750
2792808,2,NFL,483,FAS,SCO,4/4/2025,102294,FORNECEDOR,4508613205,20,679002227R,PEÇA,000207192-1,75,"R$ 64,25","R$ 66,83","R$ 2,58","R$ 193,50",4600016932,1330
2793445,1,NFL,483,FAS,SCO,5/4/2025,110781,FORNECEDOR,4508612889,10,738206375R,PEÇA,000129234-1,96,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 21.186,24",710695,10
